,precision,recall,f1-score,support
traffic,1.0,1.0,1.0,30.0
transactions,1.0,0.7666666666666667,0.8679245283018868,30.0
transfer,0.9666666666666667,0.9666666666666667,0.9666666666666667,30.0
translate,0.967741935483871,1.0,0.9836065573770492,30.0
travel_alert,1.0,1.0,1.0,30.0
travel_notification,1.0,0.9666666666666667,0.9830508474576272,30.0
travel_suggestion,1.0,1.0,1.0,30.0
uber,1.0,1.0,1.0,30.0
update_playlist,1.0,1.0,1.0,30.0
user_name,0.9333333333333333,0.9333333333333333,0.9333333333333333,30.0
vaccines,0.967741935483871,1.0,0.9836065573770492,30.0
w2,1.0,1.0,1.0,30.0
weather,0.9375,1.0,0.967741935483871,30.0
what_are_your_hobbies,0.967741935483871,1.0,0.9836065573770492,30.0
what_can_i_ask_you,1.0,0.9333333333333333,0.9655172413793104,30.0
what_is_your_name,0.9285714285714286,0.8666666666666667,0.896551724137931,30.0
what_song,1.0,1.0,1.0,30.0
where_are_you_from,1.0,0.9666666666666667,0.9830508474576272,30.0
whisper_mode,0.9354838709677419,0.9666666666666667,0.9508196721311475,30.0
who_do_you_work_for,0.896551724137931,0.8666666666666667,0.8813559322033898,30.0
who_made_you,0.8333333333333334,1.0,0.9090909090909091,30.0
yes,0.9642857142857143,0.9,0.9310344827586207,30.0
accuracy,0.9511111111111111,0.9511111111111111,0.9511111111111111,0.9511111111111111
macro avg,0.9541112153666772,0.9511111111111112,0.9510406927398193,4500.0
weighted avg,0.9541112153666771,0.9511111111111111,0.9510406927398193,4500.0
